jobID,appName,start,end,duration (s)
69.0,lonestar_mst,1538949345.310216,1538949346.802338,1.492121934890747
70.0,cudasdk_threadFenceReduction,1538949346.753692,1538949347.915605,1.1619131565093994
71.0,cudasdk_MCSingleAsianOptionP,1538949346.806056,1538949347.953432,1.1473760604858398
72.0,poly_mvt,1538949347.03893,1538949349.103336,2.064406156539917
73.0,poly_3mm,1538949347.919142,1538949351.807742,3.8886001110076904
74.0,cudasdk_batchCUBLAS,1538949347.95649,1538949349.785603,1.8291130065917969
75.0,cudasdk_vectorAdd,1538949348.214763,1538949349.536862,1.322098970413208
76.0,cudasdk_lineOfSight,1538949349.117537,1538949350.143705,1.026167869567871
77.0,cudasdk_transpose,1538949349.543606,1538949350.815222,1.271615982055664
78.0,parboil_sgemm,1538949349.788774,1538949350.654625,0.8658509254455566
